,Movie,Producer,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,genre_encoded,log_sales,log_audience,log_screen
204,사자,김주환,롯데컬처웍스(주)롯데엔터테인먼트,1405,12917306145,1609737,미스터리,1,2019,7,3,9,23.282,14.292,7.249
205,창궐,김성훈,(주)넥스트엔터테인먼트월드(NEW),1351,13275772490,1599290,사극,1,2018,10,4,11,23.309,14.285,7.209
206,더 폰,김봉주,(주)넥스트엔터테인먼트월드(NEW),794,12309164568,1593694,스릴러,1,2015,10,4,13,23.234,14.282,6.678
207,성난황소,김민호,(주)쇼박스,1010,13236490737,1593386,범죄,1,2018,11,4,10,23.306,14.281,6.919
208,무적자,송해성,씨제이엔터테인먼트,416,11816488677,1571432,드라마,1,2010,9,4,6,23.193,14.267,6.033
209,용의자X,방은진,씨제이이앤엠(주),553,11241013000,1552055,미스터리,1,2012,10,4,9,23.143,14.255,6.317
210,도어락,이권,메가박스중앙(주)플러스엠,954,12694612486,1545442,스릴러,1,2018,12,1,13,23.264,14.251,6.862
211,유감스러운 도시,김동원,씨제이엔터테인먼트,375,10300187478,1534911,코미디,1,2009,1,1,18,23.055,14.244,5.93
212,작전,이호재,(주)쇼박스,393,10198304795,1534407,범죄,1,2009,2,1,10,23.045,14.244,5.976
213,퍼펙트 게임,박희곤,롯데쇼핑㈜롯데엔터테인먼트,413,11220408500,1507084,드라마,0,2011,12,1,6,23.141,14.226,6.026
214,리틀 포레스트,임순례,메가박스중앙(주)플러스엠,884,11924818185,1505560,드라마,2,2018,2,1,6,23.202,14.225,6.786
215,차이나타운,한준희,CGV아트하우스,551,11989400678,1472006,범죄,3,2015,4,2,10,23.207,14.202,6.314
216,스윙키즈,강형철,(주)넥스트엔터테인먼트월드(NEW),984,12077312892,1470753,드라마,0,2018,12,1,6,23.215,14.201,6.893
217,부라더,장유정,메가박스중앙(주)플러스엠,889,11590908298,1468301,코미디,0,2017,11,4,18,23.173,14.2,6.791
218,해무(海霧),심성보,(주)넥스트엔터테인먼트월드(NEW),584,11631310219,1466830,드라마,3,2014,8,3,6,23.177,14.199,6.372
219,인간중독,김대우,(주)넥스트엔터테인먼트월드(NEW),682,11284787400,1441964,멜로/로맨스,3,2014,5,2,7,23.147,14.182,6.526
220,나의 특별한 형제,육상효,(주)넥스트엔터테인먼트월드(NEW),936,11835049574,1441813,드라마,0,2019,5,2,6,23.194,14.181,6.843
221,탐정 홍길동: 사라진 마을,조성희,씨제이이앤엠(주),764,11483686845,1426873,드라마,1,2016,5,2,6,23.164,14.171,6.64
222,런닝맨,조동오,이십세기폭스코리아(주),567,10011200500,1416053,액션,1,2013,4,2,15,23.027,14.163,6.342
223,구르믈 버서난 달처럼,이준익,에스케이텔레콤(주),509,10408565262,1407681,사극,1,2010,4,2,11,23.066,14.157,6.234
224,기억의 밤,장항준,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",751,10652346660,1387599,미스터리,1,2017,11,4,9,23.089,14.143,6.623
225,골든슬럼버,노동석,씨제이이앤엠(주),833,11412768798,1387508,범죄,1,2018,2,1,10,23.158,14.143,6.726
226,브이아이피,박훈정,워너브러더스 코리아(주),996,10956621835,1373316,범죄,3,2017,8,3,10,23.117,14.133,6.905
227,특별시민,박인제,(주)쇼박스,1154,10494768945,1362634,드라마,1,2017,4,2,6,23.074,14.125,7.052
228,차형사,신태라,씨제이이앤엠(주),433,9752555296,1346754,코미디,1,2012,5,2,18,23.001,14.113,6.073
229,은교,정지우,롯데쇼핑㈜롯데엔터테인먼트,521,9917728000,1346274,멜로/로맨스,3,2012,4,2,7,23.018,14.113,6.258
230,궁합,홍창표,씨제이이앤엠(주),966,10478875438,1340117,코미디,0,2018,2,1,18,23.073,14.108,6.874
231,미스터 고,김용화,(주)쇼박스,840,9337990000,1328890,코미디,0,2013,7,3,18,22.957,14.1,6.735
232,청담보살,김진영,(주)넥스트엔터테인먼트월드(NEW),404,9687687439,1321005,멜로/로맨스,1,2009,11,4,7,22.994,14.094,6.004
233,사라진 밤,이창희,(주)키다리이엔티,925,10686397316,1314274,스릴러,1,2018,3,2,13,23.092,14.089,6.831
234,간첩,우민호,롯데쇼핑㈜롯데엔터테인먼트,576,9316548500,1310895,드라마,1,2012,9,4,6,22.955,14.086,6.358
235,장산범,허정,(주)넥스트엔터테인먼트월드(NEW),711,10332117083,1305145,미스터리,1,2017,8,3,9,23.059,14.082,6.568
236,킹콩을 들다,박건용,(주)넥스트엔터테인먼트월드(NEW),411,8597263166,1277800,드라마,2,2009,7,3,6,22.875,14.061,6.021
237,간기남,김형준,(주)쇼박스,356,9356404500,1246185,코미디,3,2012,4,2,18,22.959,14.036,5.878
238,유열의 음악앨범,정지우,CGV아트하우스,1078,10233455040,1245532,멜로/로맨스,0,2019,8,3,7,23.049,14.035,6.984
239,육혈포 강도단,강효진,롯데쇼핑㈜롯데엔터테인먼트,319,8784927671,1233582,코미디,1,2010,3,2,18,22.896,14.025,5.768
240,심야의 F.M.,김상만,롯데쇼핑㈜롯데엔터테인먼트,422,9328562568,1228673,스릴러,3,2010,10,4,13,22.956,14.021,6.047
241,특별수사: 사형수의 편지,권종관,(주)넥스트엔터테인먼트월드(NEW),691,9792082065,1225142,범죄,1,2016,6,3,10,23.005,14.019,6.54
242,찌라시: 위험한 소문,김광식,씨제이이앤엠(주),560,9111648087,1221420,범죄,1,2014,2,1,10,22.933,14.016,6.33
243,결혼전야,홍지영,씨너스엔터테인먼트(주),524,8431504719,1212270,멜로/로맨스,1,2013,11,4,7,22.855,14.008,6.263
244,악녀,정병길,(주)넥스트엔터테인먼트월드(NEW),685,9730720144,1206917,액션,3,2017,6,3,15,22.999,14.004,6.531
245,인사동 스캔들,박희곤,에스케이텔레콤(주),314,7900084842,1206101,드라마,1,2009,4,2,6,22.79,14.003,5.753
246,깡철이,안권태,씨제이이앤엠(주),707,8534777462,1204666,드라마,1,2013,10,4,6,22.867,14.002,6.562
247,시간이탈자,곽재용,씨제이이앤엠(주),733,9729882195,1202058,스릴러,1,2016,4,2,13,22.998,14.0,6.599
248,R2B: 리턴투베이스,김동원,씨제이이앤엠(주),539,8600489371,1201640,액션,1,2012,8,3,15,22.875,13.999,6.292
249,해빙,이수연,롯데쇼핑㈜롯데엔터테인먼트,915,9879737822,1201576,스릴러,1,2017,3,2,13,23.014,13.999,6.82
250,더 웹툰: 예고살인,김용균,씨제이이앤엠(주),541,8534322070,1201033,공포(호러),1,2013,6,3,3,22.867,13.999,6.295
251,생일,이종언,(주)넥스트엔터테인먼트월드(NEW),862,9786575840,1186283,드라마,2,2019,4,2,6,23.004,13.986,6.76
252,바람 바람 바람,이병헌,(주)넥스트엔터테인먼트월드(NEW),985,9702206675,1183959,코미디,3,2018,4,2,18,22.996,13.984,6.894
253,빅매치,최호,(주)넥스트엔터테인먼트월드(NEW),627,8952096578,1177438,액션,1,2014,11,4,15,22.915,13.979,6.443
254,"힘을 내요, 미스터 리",이계벽,(주)넥스트엔터테인먼트월드(NEW),990,9887863906,1176076,코미디,0,2019,9,4,18,23.015,13.978,6.899
255,동주,이준익,메가박스중앙(주)플러스엠,499,8864695589,1168427,드라마,0,2016,2,1,6,22.905,13.971,6.215
256,돈의 맛,임상수,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",643,8776870611,1165488,드라마,3,2012,5,2,6,22.895,13.969,6.468
257,장수상회,강제규,씨제이이앤엠(주),688,8707389643,1160935,멜로/로맨스,0,2015,4,2,7,22.887,13.965,6.535
258,가문의 영광5 - 가문의 귀환,정용기,롯데쇼핑㈜롯데엔터테인먼트,447,8330342500,1160021,코미디,1,2012,12,1,18,22.843,13.964,6.105
259,슬로우 비디오,김영탁,이십세기폭스코리아(주),618,8840530219,1159787,드라마,0,2014,10,4,6,22.903,13.964,6.428
260,미씽: 사라진 여자,이언희,메가박스중앙(주)플러스엠,790,8881616256,1153109,미스터리,1,2016,11,4,9,22.907,13.958,6.673
261,퍼펙트맨,용수,(주)쇼박스,894,9604139750,1144894,코미디,1,2019,10,4,18,22.985,13.951,6.797
262,용서는 없다,김형준,(주)시네마서비스,334,8737627361,1144238,범죄,3,2010,1,1,10,22.891,13.95,5.814
263,장사리 : 잊혀진 영웅들,"곽경택,김태훈",워너브러더스 코리아(주),1090,8997921050,1140876,전쟁,0,2019,9,4,17,22.92,13.947,6.995
264,고령화 가족,송해성,씨제이이앤엠(주),583,8159482153,1139250,드라마,1,2013,5,2,6,22.822,13.946,6.37
265,김종욱 찾기,장유정,씨제이엔터테인먼트,442,8271660983,1130638,멜로/로맨스,0,2010,12,1,7,22.836,13.938,6.094
266,하루,조선호,CGV아트하우스,781,9068009842,1129018,스릴러,1,2017,6,3,13,22.928,13.937,6.662
267,챔피언,김용완,워너브러더스 코리아(주),874,9441064230,1125319,드라마,0,2018,5,2,6,22.968,13.934,6.774
268,성난 변호사,허종호,씨제이이앤엠(주),607,8697174039,1124918,범죄,1,2015,10,4,10,22.886,13.933,6.41
269,"당신, 거기 있어줄래요",홍지영,롯데쇼핑㈜롯데엔터테인먼트,767,8999085248,1124815,판타지,0,2016,12,1,19,22.92,13.933,6.644
270,특수본,황병국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",471,8096052500,1118258,액션,1,2011,11,4,15,22.815,13.927,6.157
271,회사원,임상윤,(주)쇼박스,549,8321175000,1110523,액션,3,2012,10,4,15,22.842,13.92,6.31
272,간신,민규동,롯데쇼핑㈜롯데엔터테인먼트,697,8946842910,1110246,사극,3,2015,5,2,11,22.915,13.92,6.548
273,베스트셀러,이정호,(주)시너지하우스 (시너지),317,8110824681,1099665,미스터리,1,2010,4,2,9,22.816,13.911,5.762
274,롱 리브 더 킹: 목포 영웅,강윤성,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",965,9218262910,1092738,액션,1,2019,6,3,15,22.944,13.904,6.873
275,오빠생각,이한,(주)넥스트엔터테인먼트월드(NEW),855,8058857287,1069436,드라마,0,2016,1,1,6,22.81,13.883,6.752
276,"날, 보러와요",이철하,메가박스중앙(주)플러스엠,683,8821335063,1061412,미스터리,3,2016,4,2,9,22.9,13.875,6.528
277,수상한 고객들,조진모,씨제이이앤엠(주),411,7953428000,1059350,코미디,1,2011,4,2,18,22.797,13.873,6.021
278,시크릿,윤재구,씨제이엔터테인먼트,397,7979591607,1046787,스릴러,3,2009,12,1,13,22.8,13.861,5.986
279,그놈이다,윤준형,CGV아트하우스,681,8098811152,1046313,스릴러,1,2015,10,4,13,22.815,13.861,6.525
280,동창생,박홍수,(주)쇼박스,660,6983395126,1044522,액션,1,2013,11,4,15,22.667,13.859,6.494
281,점박이:한반도의 공룡3D,한상호,씨제이이앤엠(주),457,9621468000,1040636,애니메이션,2,2012,1,1,14,22.987,13.855,6.127
282,파괴된 사나이,우민호,(주)시너지하우스 (시너지),190,7820538614,1030285,드라마,3,2010,7,3,6,22.78,13.845,5.252
283,오직 그대만,송일곤,(주)쇼박스,435,7591008500,1027622,멜로/로맨스,1,2011,10,4,7,22.75,13.843,6.078
284,심장이 뛴다,윤재근,롯데쇼핑㈜롯데엔터테인먼트,445,7538083500,1006947,드라마,1,2011,1,1,6,22.743,13.822,6.1
285,염력,연상호,(주)넥스트엔터테인먼트월드(NEW),1099,7484644112,990104,드라마,1,2018,1,1,6,22.736,13.806,7.003
286,방황하는 칼날,이정호,씨제이이앤엠(주),594,7806377800,987420,범죄,3,2014,4,2,10,22.778,13.803,6.389
287,시체가 돌아왔다,우선호,씨제이이앤엠(주),435,7357623000,986547,범죄,1,2012,3,2,10,22.719,13.802,6.078
288,미쓰 와이프,강효진,메가박스중앙(주)플러스엠,437,7357162869,984265,코미디,1,2015,8,3,18,22.719,13.8,6.082
289,원더풀 라디오,권칠인,(주)쇼박스,474,7193596000,977470,드라마,1,2012,1,1,6,22.696,13.793,6.163
290,돈 크라이 마미,김용한,(주)에스비에스콘텐츠허브,444,6808882099,975462,스릴러,1,2012,11,4,13,22.641,13.791,6.098
291,"고산자, 대동여지도",강우석,씨제이이앤엠(주),765,7777473258,971194,사극,2,2016,9,4,11,22.774,13.786,6.641
292,우리는 형제입니다,장진,(주)쇼박스,566,7263255399,970373,코미디,0,2014,10,4,18,22.706,13.785,6.34
293,천문: 하늘에 묻는다,허진호,롯데컬처웍스(주)롯데엔터테인먼트,1198,7808242950,965624,사극,0,2019,12,1,11,22.778,13.781,7.089
294,전국노래자랑,이종필,롯데쇼핑㈜롯데엔터테인먼트,581,6606589000,963634,코미디,0,2013,5,2,18,22.611,13.778,6.366
295,나랏말싸미,조철현,메가박스중앙(주)플러스엠,1211,7871240823,958775,사극,2,2019,7,3,11,22.786,13.773,7.1
296,백야행,박신우,(주)시네마서비스,398,7170684217,956767,멜로/로맨스,3,2009,11,4,7,22.693,13.771,5.989
297,허삼관,하정우,(주)넥스트엔터테인먼트월드(NEW),621,7405415569,955175,드라마,0,2015,1,1,6,22.725,13.77,6.433
298,불한당: 나쁜 놈들의 세상,변성현,씨제이이앤엠(주),860,7654331125,951797,범죄,3,2017,5,2,10,22.759,13.766,6.758
299,평행이론,권호영,씨제이엔터테인먼트,272,6905140883,937029,스릴러,1,2010,2,1,13,22.656,13.75,5.609
300,뽀로로 극장판 슈퍼썰매 대모험,박영균,"(주)넥스트엔터테인먼트월드(NEW),씨제이이앤엠(주)",459,6819979500,929985,애니메이션,2,2013,1,1,14,22.643,13.743,6.131
301,더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),1310,7266896026,905885,범죄,1,2017,1,1,10,22.707,13.717,7.179
302,점쟁이들,신정원,(주)넥스트엔터테인먼트월드(NEW),479,6345293500,900054,코미디,1,2012,10,4,18,22.571,13.71,6.174
303,인랑,김지운,워너브러더스 코리아(주),1085,6994748173,897548,SF,1,2018,7,3,0,22.668,13.707,6.99
304,극장판 헬로카봇 : 백악기 시대,"최신규,김진철",(주)넥스트엔터테인먼트월드(NEW),758,6542619500,874967,애니메이션,2,2018,8,3,14,22.602,13.682,6.632
305,고死 두 번째 이야기: 교생실습,유선동,(주)넥스트엔터테인먼트월드(NEW),320,5901045987,872594,공포(호러),1,2010,7,3,3,22.498,13.679,5.771
306,열한시,김현석,씨제이이앤엠(주),512,6097792000,870785,스릴러,1,2013,11,4,13,22.531,13.677,6.24
307,미확인 동영상 : 절대클릭금지,김태경,(주)쇼박스,361,5939840500,867386,공포(호러),1,2012,5,2,3,22.505,13.673,5.892
308,살인의뢰,손용호,씨네그루(주)다우기술,646,6986456737,855980,범죄,3,2015,3,2,10,22.667,13.66,6.472
309,좋아해줘,박현진,씨제이이앤엠(주),637,6572774337,848148,멜로/로맨스,0,2016,2,1,7,22.606,13.651,6.458
310,만추,김태용,씨제이엔터테인먼트,444,6300514500,844103,멜로/로맨스,1,2011,2,1,7,22.564,13.646,6.098
311,대립군,정윤철,이십세기폭스코리아(주),809,6276963402,837500,드라마,1,2017,5,2,6,22.56,13.638,6.697
312,마린보이,윤종석,씨제이엔터테인먼트,340,5565284169,837059,액션,1,2009,2,1,15,22.44,13.638,5.832
313,체포왕,임찬익,롯데쇼핑㈜롯데엔터테인먼트,407,6146610500,831804,코미디,1,2011,5,2,18,22.539,13.631,6.011
314,손님,김광태,씨제이이앤엠(주),634,6385295880,827918,판타지,1,2015,7,3,19,22.577,13.627,6.454
315,뽀로로 극장판 공룡섬 대모험,"김현호,윤제완",(주)넥스트엔터테인먼트월드(NEW),803,6203897300,824079,애니메이션,2,2017,12,1,14,22.548,13.622,6.69
316,남쪽으로 튀어,임순례,롯데쇼핑㈜롯데엔터테인먼트,428,5907297500,821918,코미디,1,2013,2,1,18,22.499,13.619,6.061
317,레드슈즈,"홍성호,홍성호",(주)넥스트엔터테인먼트월드(NEW),717,6102923190,817547,애니메이션,2,2019,7,3,14,22.532,13.614,6.576
318,카트,부지영,(주)리틀빅픽쳐스,544,5809735433,799275,드라마,0,2014,11,4,6,22.483,13.591,6.301
319,화이트: 저주의 멜로디,"김곡,김선",씨제이이앤엠(주),305,5587166000,790954,공포(호러),1,2011,6,3,3,22.444,13.581,5.724
320,상의원,이원석,"(주)쇼박스,(주)와우픽쳐스",466,6202433964,790158,사극,1,2014,12,1,11,22.548,13.58,6.146
321,관능의 법칙,권칠인,롯데쇼핑㈜롯데엔터테인먼트,591,5808789500,773996,드라마,3,2014,2,1,6,22.483,13.559,6.384
322,푸른소금,이현승,씨제이이앤엠(주),476,5739824500,771699,액션,1,2011,8,3,15,22.471,13.556,6.168
323,나는 왕이로소이다,장규성,롯데쇼핑㈜롯데엔터테인먼트,471,5317185404,768971,사극,0,2012,8,3,11,22.394,13.553,6.157
324,상류사회,변혁,롯데컬처웍스(주)롯데엔터테인먼트,867,6313416163,768442,드라마,3,2018,8,3,6,22.566,13.552,6.766
325,뽀로로 극장판 보물섬 대모험,"김현호,윤창섭,김현호",(주)넥스트엔터테인먼트월드(NEW),736,5886268900,766758,애니메이션,2,2019,4,2,14,22.496,13.55,6.603
326,레슬러,김대웅,롯데쇼핑㈜롯데엔터테인먼트,957,6440492657,765963,드라마,1,2018,5,2,6,22.586,13.549,6.865
327,스플릿,최국희,오퍼스픽쳐스(유),702,6097721539,757430,드라마,1,2016,11,4,6,22.531,13.538,6.555
328,주유소 습격사건 2,김상진,(주)시네마서비스,322,5466499511,742475,액션,1,2010,1,1,15,22.422,13.518,5.778
329,김씨표류기,이해준,(주)시네마서비스,288,4796220849,733931,코미디,0,2009,5,2,18,22.291,13.506,5.666
330,더 파이브,정연식,씨제이이앤엠(주),501,5343797000,731212,스릴러,3,2013,11,4,13,22.399,13.502,6.219
331,슬픔보다 더 슬픈 이야기,원태연,(주)쇼박스,353,4774850499,724107,멜로/로맨스,1,2009,3,2,7,22.287,13.493,5.869
332,물괴,허종호,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티",1183,6104164954,723414,액션,1,2018,9,4,15,22.532,13.492,7.077
333,미쓰백,이지원,(주)리틀빅픽쳐스,638,6027243066,720558,드라마,1,2018,10,4,6,22.52,13.488,6.46
334,풍산개,전재홍,(주)넥스트엔터테인먼트월드(NEW),286,5395019500,714102,드라마,3,2011,6,3,6,22.409,13.479,5.659
335,국가대표 2,김종현,메가박스중앙(주)플러스엠,562,5424324942,703024,드라마,0,2016,8,3,6,22.414,13.463,6.333
336,통증,곽경택,롯데쇼핑㈜롯데엔터테인먼트,317,5207167000,693101,멜로/로맨스,1,2011,9,4,7,22.373,13.449,5.762
337,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,씨제이이앤엠(주),762,5001247250,678091,애니메이션,2,2018,7,3,14,22.333,13.427,6.637
338,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,씨제이이앤엠(주),841,5299942440,672122,애니메이션,2,2019,12,1,14,22.391,13.418,6.736
339,고양이: 죽음을 보는 두 개의 눈,변승욱,(주)넥스트엔터테인먼트월드(NEW),304,4767098000,670295,공포(호러),1,2011,7,3,3,22.285,13.415,5.72
340,실종,김성홍,(주)시너지하우스 (시너지),257,4415413589,654587,범죄,3,2009,3,2,10,22.208,13.392,5.553
341,열정같은소리하고있네,정기훈,(주)넥스트엔터테인먼트월드(NEW),566,4761399902,654407,드라마,1,2015,11,4,6,22.284,13.391,6.34
342,그날의 분위기,조규장,(주)쇼박스,592,5142899612,652453,멜로/로맨스,1,2016,1,1,7,22.361,13.388,6.385
343,여고괴담 5,이종용,롯데쇼핑㈜롯데엔터테인먼트,318,4205826795,652097,공포(호러),1,2009,6,3,3,22.16,13.388,5.765
344,아빠는 딸,김형협,메가박스중앙(주)플러스엠,520,5047634395,646412,코미디,0,2017,4,2,18,22.342,13.379,6.256
345,사냥,이우철,롯데쇼핑㈜롯데엔터테인먼트,696,4912658515,645922,액션,1,2016,6,3,15,22.315,13.378,6.547
346,나를 찾아줘,김승우,워너브러더스 코리아(주),875,5117014620,645082,스릴러,1,2019,11,4,13,22.356,13.377,6.775
347,광대들: 풍문조작단,김주호,워너브러더스 코리아(주),806,5226776088,637021,사극,0,2019,8,3,11,22.377,13.365,6.693
348,널 기다리며,모홍진,(주)넥스트엔터테인먼트월드(NEW),551,5232611336,634953,스릴러,3,2016,3,2,13,22.378,13.361,6.314
349,플랜맨,성시흡,롯데쇼핑㈜롯데엔터테인먼트,458,4528561558,632299,드라마,1,2014,1,1,6,22.234,13.357,6.129
350,핸드폰,김한민,에스케이텔레콤(주),356,4271780582,630049,스릴러,3,2009,2,1,13,22.175,13.354,5.878
351,조선마술사,김대승,롯데쇼핑㈜롯데엔터테인먼트,608,4650016527,628576,드라마,0,2015,12,1,6,22.26,13.351,6.412
352,홍길동의 후예,정용기,에스케이텔레콤(주),380,4293061087,616654,액션,0,2009,11,4,15,22.18,13.332,5.943
353,특종: 량첸살인기,노덕,롯데쇼핑㈜롯데엔터테인먼트,776,4754763118,616481,스릴러,1,2015,10,4,13,22.282,13.332,6.655
354,미쓰GO,박철관,(주)넥스트엔터테인먼트월드(NEW),440,4441859000,611685,액션,1,2012,6,3,15,22.214,13.324,6.089
355,서부전선,천성일,롯데쇼핑㈜롯데엔터테인먼트,509,4751661400,609063,전쟁,0,2015,9,4,17,22.282,13.32,6.234
356,이층의 악당,손재곤,(주)싸이더스,384,4332815318,605224,코미디,1,2010,11,4,18,22.189,13.313,5.953
357,반가운 살인자,김동욱,롯데쇼핑㈜롯데엔터테인먼트,261,4347073175,599176,코미디,1,2010,4,2,18,22.193,13.303,5.568
358,우는 남자,이정범,씨제이이앤엠(주),508,4883740800,599050,액션,3,2014,6,3,15,22.309,13.303,6.232
359,황제를 위하여,박상준,유나이티드픽처스(주),423,4751881771,592041,액션,3,2014,6,3,15,22.282,13.291,6.05
360,패션왕,오기환,(주)넥스트엔터테인먼트월드(NEW),523,4338223379,591125,코미디,1,2014,11,4,18,22.191,13.29,6.261
361,극장판 헬로카봇 : 달나라를 구해줘!,"최신규,김진철",롯데컬처웍스(주)롯데엔터테인먼트,889,4553434150,587818,애니메이션,2,2019,9,4,14,22.239,13.284,6.791
362,퀴즈왕,장진,(주)시네마서비스,323,4258992759,583183,코미디,1,2010,9,4,18,22.172,13.276,5.781
363,극장판 헬로카봇: 옴파로스 섬의 비밀,"최신규,김진철",(주)넥스트엔터테인먼트월드(NEW),752,4485905140,575353,애니메이션,2,2019,1,1,14,22.224,13.263,6.624
364,파파,한지승,롯데쇼핑㈜롯데엔터테인먼트,414,3866065500,562156,가족,0,2012,2,1,1,22.076,13.24,6.028
365,양자물리학,이성태,(주)메리크리스마스,799,4526478380,553879,범죄,1,2019,9,4,10,22.233,13.225,6.685
366,점박이 한반도의 공룡2 : 새로운 낙원,한상호,(주)넥스트엔터테인먼트월드(NEW),672,4293073300,550059,애니메이션,2,2018,12,1,14,22.18,13.218,6.512
367,너는 펫,김병곤,롯데쇼핑㈜롯데엔터테인먼트,341,3798398000,540972,멜로/로맨스,0,2011,11,4,7,22.058,13.201,5.835
368,사이코메트리,권호영,씨제이이앤엠(주),429,3964769129,531953,미스터리,3,2013,3,2,9,22.101,13.184,6.064
369,버닝,이창동,CGV아트하우스,739,4714345098,528153,미스터리,3,2018,5,2,9,22.274,13.177,6.607
370,챔프,이환경,(주)쇼박스,288,3805721000,528149,드라마,0,2011,9,4,6,22.06,13.177,5.666
371,7년의 밤,추창민,씨제이이앤엠(주),872,3969337524,528007,스릴러,1,2018,3,2,13,22.102,13.177,6.772
372,몬스터,황인호,롯데쇼핑㈜롯데엔터테인먼트,527,4136202515,526282,스릴러,3,2014,3,2,13,22.143,13.174,6.269
373,헬머니,신한솔,(주)넥스트엔터테인먼트월드(NEW),422,4096141972,519983,코미디,3,2015,3,2,18,22.133,13.162,6.047
374,가려진 시간,엄태화,(주)쇼박스,884,3946462400,510878,드라마,0,2016,11,4,6,22.096,13.144,6.786
375,남자사용설명서,이원석,(주)쇼박스,372,3602049257,507257,코미디,1,2013,2,1,18,22.005,13.137,5.922
376,아부의 왕,정승구,롯데쇼핑㈜롯데엔터테인먼트,428,3511102500,497880,코미디,1,2012,6,3,18,21.979,13.118,6.061
377,캐치미,이현종,롯데쇼핑㈜롯데엔터테인먼트,517,3387483000,492773,코미디,0,2013,12,1,18,21.943,13.108,6.25
378,무서운 이야기 2,"김성호,김휘,정범식,민규동",롯데쇼핑㈜롯데엔터테인먼트,337,3375472500,492465,미스터리,1,2013,6,3,9,21.94,13.107,5.823
379,불량남녀,신근호,(주)쇼박스,345,3619026909,491207,코미디,1,2010,11,4,18,22.009,13.105,5.846
380,또 하나의 약속,김태윤,영화사올(주),192,3470184400,489409,드라마,0,2014,2,1,6,21.967,13.101,5.263
381,침묵,정지우,씨제이이앤엠(주),634,3873542364,487897,드라마,1,2017,11,4,6,22.077,13.098,6.454
382,해어화,박흥식,롯데쇼핑㈜롯데엔터테인먼트,572,3763852759,485083,사극,1,2016,4,2,11,22.049,13.092,6.351
383,계춘할망,창,(주)콘텐츠 난다긴다,526,3589317348,480987,가족,1,2016,5,2,1,22.001,13.084,6.267
384,소녀괴담,오인천,(주)리틀빅픽쳐스,455,3546340054,480528,미스터리,1,2014,7,3,9,21.989,13.083,6.122
385,조선미녀삼총사,박제현,(주)쇼박스,388,3471341321,480361,코미디,0,2014,1,1,18,21.968,13.082,5.964
386,친정엄마,유성엽,(주)싸이더스,276,3367901082,478822,드라마,2,2010,4,2,6,21.938,13.079,5.624
387,넛잡: 땅콩 도둑들,피터 레페니오티스,(주)싸이더스,382,3280608100,478392,애니메이션,2,2014,1,1,14,21.911,13.078,5.948
388,"로봇, 소리",이호재,롯데쇼핑㈜롯데엔터테인먼트,609,3519595560,476665,드라마,0,2016,1,1,6,21.982,13.075,6.413
389,변산,이준익,메가박스중앙(주)플러스엠,763,3886052473,474137,드라마,1,2018,7,3,6,22.081,13.069,6.639
390,위험한 상견례 2,김진영,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",429,3575384754,472693,멜로/로맨스,1,2015,4,2,7,21.997,13.066,6.064
391,카운트다운,허종호,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)",341,3630557000,471547,드라마,3,2011,9,4,6,22.013,13.064,5.835
392,식객2 : 김치전쟁,"백동훈,김길형",롯데쇼핑㈜롯데엔터테인먼트,357,3298814209,471103,드라마,2,2010,1,1,6,21.917,13.063,5.881
393,리얼,이사랑,씨제이이앤엠(주),970,3357312530,470105,액션,3,2017,6,3,15,21.934,13.061,6.878
394,페이스메이커,김달중,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",412,3443753000,467697,드라마,0,2012,1,1,6,21.96,13.056,6.023
395,마담 뺑덕,임필성,씨제이이앤엠(주),536,3685882590,465749,멜로/로맨스,3,2014,10,4,7,22.028,13.051,6.286
396,순수의 시대,안상훈,씨제이이앤엠(주),546,3702353828,465492,사극,3,2015,3,2,11,22.032,13.051,6.304
397,동네사람들,임진순,(주)리틀빅픽쳐스,731,3797676112,459020,액션,1,2018,11,4,15,22.058,13.037,6.596
398,노브레싱,조용선,(주)나이너스엔터테인먼트,584,2991824739,451669,드라마,1,2013,10,4,6,21.819,13.021,6.372
399,원더풀 고스트,조원희,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",351,3720931600,450374,코미디,0,2018,9,4,18,22.037,13.018,5.864
400,대한민국 1%,조명남,롯데쇼핑㈜롯데엔터테인먼트,287,2280762516,447569,드라마,0,2010,5,2,6,21.548,13.012,5.663
401,반드시 잡는다,김홍선,(주)넥스트엔터테인먼트월드(NEW),565,3324033772,446379,스릴러,1,2017,11,4,13,21.924,13.009,6.339
